date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:55:38	34454/34454	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:39%20GMT	https://www.invertexto.com/	C:/Meus%20Sites/invertexto/www.invertexto.com/index.html	(from )
00:55:38	103/103	---M-Z	200	added ('OK')	text/plain	etag:%2263-633f40aa268c2-gzip%22	https://www.invertexto.com/robots.txt		(from )
00:55:39	16555/16555	---M--	200	added ('OK')	image/png	etag:%22c08bf25571ec89544c69ca03e91c24c8%22	https://cdn.invertexto.com/img/face-note.png	C:/Meus%20Sites/invertexto/cdn.invertexto.com/img/face-note.png	(from https://www.invertexto.com/)
00:55:39	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-633f40aa06522%22	https://www.invertexto.com/favicon.ico	C:/Meus%20Sites/invertexto/www.invertexto.com/favicon.ico	(from https://www.invertexto.com/)
00:55:39	135830/135830	---MCZ	200	added ('OK')	text/css	etag:W/%22118f6e1e8f9bb09a4ec8e7d404442e19%22	https://cdn.invertexto.com/css/app.css?id=20260619	C:/Meus%20Sites/invertexto/cdn.invertexto.com/css/appe44f.css	(from https://www.invertexto.com/)
00:55:39	4488/4488	---M--	200	added ('OK')	image/png	etag:%22ff97b0a984877540b04b7133518d213a%22	https://cdn.invertexto.com/img/apple-touch-icon.png	C:/Meus%20Sites/invertexto/cdn.invertexto.com/img/apple-touch-icon.png	(from https://www.invertexto.com/)
00:55:39	4908/4908	---M--	200	added ('OK')	image/png	etag:%220bc41e5aef6168f7bc0403e86e627951%22	https://cdn.invertexto.com/img/invertexto.png	C:/Meus%20Sites/invertexto/cdn.invertexto.com/img/invertexto.png	(from https://www.invertexto.com/)
00:55:40	204085/204085	---M--	200	added ('OK')	text/javascript	etag:7707253775123516819	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1714195545121238	C:/Meus%20Sites/invertexto/pagead2.googlesyndication.com/pagead/js/fbe82.txt	(from https://www.invertexto.com/)
00:55:40	9310/9310	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:41%20GMT	https://www.invertexto.com/blog	C:/Meus%20Sites/invertexto/www.invertexto.com/blog.html	(from https://www.invertexto.com/)
00:55:40	9815/9815	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:41%20GMT	https://www.invertexto.com/sobre	C:/Meus%20Sites/invertexto/www.invertexto.com/sobre.html	(from https://www.invertexto.com/)
00:55:40	8238/8238	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:41%20GMT	https://www.invertexto.com/contato	C:/Meus%20Sites/invertexto/www.invertexto.com/contato.html	(from https://www.invertexto.com/)
00:55:41	6719/6719	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:42%20GMT	https://www.invertexto.com/inverter-texto	C:/Meus%20Sites/invertexto/www.invertexto.com/inverter-texto.html	(from https://www.invertexto.com/)
00:55:41	8903/8903	---M--	200	added ('OK')	image/svg+xml	etag:%2222c7-633f40aa120a2%22	https://www.invertexto.com/img/sprite.svg	C:/Meus%20Sites/invertexto/www.invertexto.com/img/sprite.svg	(from https://www.invertexto.com/)
00:55:41	7801/7801	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:42%20GMT	https://www.invertexto.com/converter-maiusculas-minusculas	C:/Meus%20Sites/invertexto/www.invertexto.com/converter-maiusculas-minusculas.html	(from https://www.invertexto.com/)
00:55:41	7309/7309	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:42%20GMT	https://www.invertexto.com/remover-linhas-duplicadas	C:/Meus%20Sites/invertexto/www.invertexto.com/remover-linhas-duplicadas.html	(from https://www.invertexto.com/)
00:55:42	6910/6910	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:43%20GMT	https://www.invertexto.com/ordem-alfabetica	C:/Meus%20Sites/invertexto/www.invertexto.com/ordem-alfabetica.html	(from https://www.invertexto.com/)
00:55:42	6738/6738	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:43%20GMT	https://www.invertexto.com/texto-de-cabeca-para-baixo	C:/Meus%20Sites/invertexto/www.invertexto.com/texto-de-cabeca-para-baixo.html	(from https://www.invertexto.com/)
00:55:42	12981/12981	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:43%20GMT	https://www.invertexto.com/letras-diferentes	C:/Meus%20Sites/invertexto/www.invertexto.com/letras-diferentes.html	(from https://www.invertexto.com/)
00:55:42	16869/16869	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:43%20GMT	https://www.invertexto.com/letras-empilhadas	C:/Meus%20Sites/invertexto/www.invertexto.com/letras-empilhadas.html	(from https://www.invertexto.com/)
00:55:43	7344/7344	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:43%20GMT	https://www.invertexto.com/prefixo-e-sufixo	C:/Meus%20Sites/invertexto/www.invertexto.com/prefixo-e-sufixo.html	(from https://www.invertexto.com/)
00:55:43	9138/9138	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:44%20GMT	https://www.invertexto.com/textos-sinonimos	C:/Meus%20Sites/invertexto/www.invertexto.com/textos-sinonimos.html	(from https://www.invertexto.com/)
00:55:43	6896/6896	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:44%20GMT	https://www.invertexto.com/localizar-e-substituir	C:/Meus%20Sites/invertexto/www.invertexto.com/localizar-e-substituir.html	(from https://www.invertexto.com/)
00:55:43	7227/7227	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:44%20GMT	https://www.invertexto.com/contador-caracteres	C:/Meus%20Sites/invertexto/www.invertexto.com/contador-caracteres.html	(from https://www.invertexto.com/)
00:55:44	7740/7740	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:44%20GMT	https://www.invertexto.com/comparar-textos	C:/Meus%20Sites/invertexto/www.invertexto.com/comparar-textos.html	(from https://www.invertexto.com/)
00:55:44	11109/11109	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:45%20GMT	https://www.invertexto.com/corretor-ortografico	C:/Meus%20Sites/invertexto/www.invertexto.com/corretor-ortografico.html	(from https://www.invertexto.com/)
00:55:44	9291/9291	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:45%20GMT	https://www.invertexto.com/palavras-que-rimam	C:/Meus%20Sites/invertexto/www.invertexto.com/palavras-que-rimam.html	(from https://www.invertexto.com/)
00:55:44	11186/11186	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:45%20GMT	https://www.invertexto.com/nuvem-de-palavras	C:/Meus%20Sites/invertexto/www.invertexto.com/nuvem-de-palavras.html	(from https://www.invertexto.com/)
00:55:45	7964/7964	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:45%20GMT	https://www.invertexto.com/notepad	C:/Meus%20Sites/invertexto/www.invertexto.com/notepad.html	(from https://www.invertexto.com/)
00:55:45	14582/14582	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:46%20GMT	https://www.invertexto.com/capsula-tempo	C:/Meus%20Sites/invertexto/www.invertexto.com/capsula-tempo.html	(from https://www.invertexto.com/)
00:55:46	15502/15502	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:46%20GMT	https://www.invertexto.com/gerador-email-temporario	C:/Meus%20Sites/invertexto/www.invertexto.com/gerador-email-temporario.html	(from https://www.invertexto.com/)
00:55:46	10343/10343	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:47%20GMT	https://www.invertexto.com/mensagem-autodestrutiva	C:/Meus%20Sites/invertexto/www.invertexto.com/mensagem-autodestrutiva.html	(from https://www.invertexto.com/)
00:55:46	7282/7282	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:47%20GMT	https://www.invertexto.com/organizador-de-links	C:/Meus%20Sites/invertexto/www.invertexto.com/organizador-de-links.html	(from https://www.invertexto.com/)
00:55:46	8428/8428	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:47%20GMT	https://www.invertexto.com/sorteio	C:/Meus%20Sites/invertexto/www.invertexto.com/sorteio.html	(from https://www.invertexto.com/)
00:55:46	6809/6809	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:47%20GMT	https://www.invertexto.com/lista-aleatoria	C:/Meus%20Sites/invertexto/www.invertexto.com/lista-aleatoria.html	(from https://www.invertexto.com/)
00:55:47	10002/10002	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:48%20GMT	https://www.invertexto.com/gerador-palavras-aleatorias	C:/Meus%20Sites/invertexto/www.invertexto.com/gerador-palavras-aleatorias.html	(from https://www.invertexto.com/)
00:55:47	8997/8997	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:48%20GMT	https://www.invertexto.com/numeros-aleatorios	C:/Meus%20Sites/invertexto/www.invertexto.com/numeros-aleatorios.html	(from https://www.invertexto.com/)
00:55:47	13533/13533	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:48%20GMT	https://www.invertexto.com/dado-online	C:/Meus%20Sites/invertexto/www.invertexto.com/dado-online.html	(from https://www.invertexto.com/)
00:55:47	14186/14186	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:48%20GMT	https://www.invertexto.com/roleta-online	C:/Meus%20Sites/invertexto/www.invertexto.com/roleta-online.html	(from https://www.invertexto.com/)
00:55:48	7711/7711	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202026%2003:55:48%20GMT	https://www.invertexto.com/gerador-numeros-megasena	C:/Meus%20Sites/invertexto/www.invertexto.com/gerador-numeros-megasena.html	(from https://www.invertexto.com/)
